FirstName,LastName,Country,Rank
Ashleigh,Barty,Australia,1
Mayar,Sherif,Egipt,128
Alison,Van Uytvanck,Belgia,64
Barbora,Krejcikova,Cehia,65
Donna,Vekic,Croatia,32
Viktoria,Kuzmova,Slovacia,97
Ekaterina,Alexandrova,Rusia,33
Jasmine,Paolini,Italia,96
Madison,Keys,SUA,16
Katarzyna,Kawa,Polonia,113
Polona,Hercog,Slovenia,49
Zarina,Diyas,Kazakhstan,80
Iga,Swiatek,Polonia,17
Samantha,Stosur,Australia,112
Cori,Gauff,SUA,48
Christina,McHale,SUA,81
Petra,Kvitova,Cehia,8
Caty,McNally,SUA,121
Jil Belen,Teichmann,Elvetia,57
Daria,Kasatkina,Rusia,72
Angelique,Kerber,Germania,25
Kaja,Juvan,Slovenia,104
Magda,Linette,Polonia,40
Taylor,Townsend,SUA,89
Kiki,Bertens,Olanda,9
Tereza,Martincova,Cehia,120
Patricia Maria,Tig,Romania,56
Nao,Hibino,Japonia,73
Jennifer,Brady,SUA,24
Monica,Puig,Puerto Rico,105
Saisai,Zheng,China,41
Leylah Annie,Fernandez,Canada,88
Sofia,Kenin,SUA,4
Margarita,Gasparyan,Rusia,125
Anna,Blinkova,Rusia,61
Ajla,Tomljanovic,Australia,68
Dayana,Yastremska,Ucraina,29
Nina,Stojanovic,Serbia,100
Svetlana,Kuznetsova,Rusia,36
Kaia,Kanepi,Estonia,93
Victoria,Azarenka,Belarus,13
Stefanie,Voegele,Elvetia,116
Marie,Bouzkova,Cehia,52
Danka,Kovinic,Muntenegru,77
Elise,Mertens,Belgia,20
Tatjana,Maria,Germania,109
Danielle Rose,Collins,SUA,45
Carla,Suarez Navarro,Spania,84
Elina,Svitolina,Ucraina,5
Vitalia,Diatchenko,Rusia,124
Shelby,Rogers,SUA,60
Kristyna,Pliskova,Cehia,69
Yulia,Putintseva,Kazakhstan,28
Anastasia,Potapova,Rusia,101
Barbora,Strycova,Cehia,37
Ana,Bogdan,Romania,92
Belinda,Bencic,Elvetia,12
Shuai,Peng,China,117
Alize,Cornet,Franta,53
Camila,Giorgi,Italia,76
Marketa,Vondrousova,Cehia,21
Kristie,Ahn,SUA,108
Jelena,Ostapenko,Letonia,44
Martina,Trevisan,Italia,85
Simona,Halep,Romania,2
Liudmila,Samsonova,Rusia,127
Jessica,Pegula,SUA,63
Sara,Sorribes Tormo,Spania,66
Ons,Jabeur,Tunisia,31
Ann,Li,SUA,98
Qiang,Wang,China,34
Yafan,Wang,China,95
Garbine,Muguruza,Spania,15
Anna,Kalinskaya,Rusia,114
Kristina,Mladenovic,Franta,50
Venus,Williams,SUA,79
Petra,Martic,Croatia,18
Anna-Lena,Friedsam,Germania,111
Nadia,Podoroska,Argentina,47
Madison,Brengle,SUA,82
Bianca Vanessa,Andreescu,Canada,7
Ysaline,Bonaventure,Belgia,122
Heather,Watson,Regatul Unit,58
Sorana-Mihaela,Cirstea,Romania,71
Alison,Riske,SUA,26
Aliona,Bolsova Zadoinov,Spania,103
Sloane,Stephens,SUA,39
Aliaksandra,Sasnovich,Belarus,90
Aryna,Sabalenka,Belarus,10
Irina Maria,Bara,Romania,119
Rebecca,Peterson,Suedia,55
Arantxa,Rus,Olanda,74
Anett,Kontaveit,Estonia,23
Kateryna,Kozlova,Ucraina,106
Fiona,Ferro,Franta,42
Tamara,Zidansek,Slovenia,87
Naomi,Osaka,Japonia,3
Tamara,Korpatsch,Germania,126
Bernarda,Pera,SUA,62
Su-Wei,Hsieh,Taiwan,67
Amanda,Anisimova,SUA,30
Marta,Kostyuk,Ucraina,99
Shuai,Zhang,China,35
Varvara,Gracheva,Rusia,94
Johanna,Konta,Regatul Unit,14
Timea,Babos,Ungaria,115
Laura,Siegemund,Germania,51
Irina,Begu,Romania,78
Elena,Rybakina,Kazakhstan,19
Greetje,Minnen,Belgia,110
Veronika,Kudermetova,Rusia,46
Misaki,Doi,Japonia,83
Karolina,Pliskova,Cehia,6
Xiyu,Wang,China,123
Katerina,Siniakova,Cehia,59
Paula,Badosa Gibert,Spania,70
Karolina,Muchova,Cehia,27
Andrea,Petkovic,Germania,102
Anastasia,Pavlyuchenkova,Rusia,38
Lin,Zhu,China,91
Serena,Williams,SUA,11
Katarina,Zavatska,Ucraina,118
Anastasija,Sevastova,Letonia,54
Lauren,Davis,SUA,75
Maria,Sakkari,Grecia,22
Oceane,Dodin,Franta,107
Caroline,Garcia,Franta,43
Kirsten,Flipkens,Belgia,86
Ashleigh,Barty,Australia,1
Barbora,Krejcikova,Cehia,65
Donna,Vekic,Croatia,32
Ekaterina,Alexandrova,Rusia,33
Madison,Keys,SUA,16
Polona,Hercog,Slovenia,49
Iga,Swiatek,Polonia,17
Cori,Gauff,SUA,48
Petra,Kvitova,Cehia,8
Jil Belen,Teichmann,Elvetia,57
Angelique,Kerber,Germania,25
Magda,Linette,Polonia,40
Kiki,Bertens,Olanda,9
Patricia Maria,Tig,Romania,56
Jennifer,Brady,SUA,24
Saisai,Zheng,China,41
Sofia,Kenin,SUA,4
Anna,Blinkova,Rusia,61
Nina,Stojanovic,Serbia,100
Kaia,Kanepi,Estonia,93
Stefanie,Voegele,Elvetia,116
Danka,Kovinic,Muntenegru,77
Tatjana,Maria,Germania,109
Carla,Suarez Navarro,Spania,84
Vitalia,Diatchenko,Rusia,124
Shelby,Rogers,SUA,60
Anastasia,Potapova,Rusia,101
Barbora,Strycova,Cehia,37
Shuai,Peng,China,117
Alize,Cornet,Franta,53
Marketa,Vondrousova,Cehia,21
Jelena,Ostapenko,Letonia,44
Simona,Halep,Romania,2
Sara,Sorribes Tormo,Spania,66
Ons,Jabeur,Tunisia,31
Qiang,Wang,China,34
Garbine,Muguruza,Spania,15
Venus,Williams,SUA,79
Anna-Lena,Friedsam,Germania,111
Nadia,Podoroska,Argentina,47
Ysaline,Bonaventure,Belgia,122
Sorana-Mihaela,Cirstea,Romania,71
Aliona,Bolsova Zadoinov,Spania,103
Aliaksandra,Sasnovich,Belarus,90
Irina Maria,Bara,Romania,119
Rebecca,Peterson,Suedia,55
Anett,Kontaveit,Estonia,23
Fiona,Ferro,Franta,42
Tamara,Korpatsch,Germania,126
Su-Wei,Hsieh,Taiwan,67
Marta,Kostyuk,Ucraina,99
Shuai,Zhang,China,35
Johanna,Konta,Regatul Unit,14
Irina,Begu,Romania,78
Elena,Rybakina,Kazakhstan,19
Misaki,Doi,Japonia,83
Karolina,Pliskova,Cehia,6
Paula,Badosa Gibert,Spania,70
Andrea,Petkovic,Germania,102
Anastasia,Pavlyuchenkova,Rusia,38
Katarina,Zavatska,Ucraina,118
Anastasija,Sevastova,Letonia,54
Maria,Sakkari,Grecia,22
Caroline,Garcia,Franta,43
Barbora,Krejcikova,Cehia,65
Ekaterina,Alexandrova,Rusia,33
Madison,Keys,SUA,16
Iga,Swiatek,Polonia,17
Jil Belen,Teichmann,Elvetia,57
Angelique,Kerber,Germania,25
Kiki,Bertens,Olanda,9
Jennifer,Brady,SUA,24
Sofia,Kenin,SUA,4
Kaia,Kanepi,Estonia,93
Stefanie,Voegele,Elvetia,116
Carla,Suarez Navarro,Spania,84
Vitalia,Diatchenko,Rusia,124
Barbora,Strycova,Cehia,37
Alize,Cornet,Franta,53
Marketa,Vondrousova,Cehia,21
Simona,Halep,Romania,2
Ons,Jabeur,Tunisia,31
Garbine,Muguruza,Spania,15
Nadia,Podoroska,Argentina,47
Ysaline,Bonaventure,Belgia,122
Aliona,Bolsova Zadoinov,Spania,103
Rebecca,Peterson,Suedia,55
Anett,Kontaveit,Estonia,23
Tamara,Korpatsch,Germania,126
Marta,Kostyuk,Ucraina,99
Johanna,Konta,Regatul Unit,14
Elena,Rybakina,Kazakhstan,19
Paula,Badosa Gibert,Spania,70
Anastasia,Pavlyuchenkova,Rusia,38
Anastasija,Sevastova,Letonia,54
Caroline,Garcia,Franta,43
Ekaterina,Alexandrova,Rusia,33
Madison,Keys,SUA,16
Angelique,Kerber,Germania,25
Kiki,Bertens,Olanda,9
Kaia,Kanepi,Estonia,93
Carla,Suarez Navarro,Spania,84
Barbora,Strycova,Cehia,37
Alize,Cornet,Franta,53
Simona,Halep,Romania,2
Garbine,Muguruza,Spania,15
Ysaline,Bonaventure,Belgia,122
Anett,Kontaveit,Estonia,23
Tamara,Korpatsch,Germania,126
Elena,Rybakina,Kazakhstan,19
Paula,Badosa Gibert,Spania,70
Anastasija,Sevastova,Letonia,54
Madison,Keys,SUA,16
Kiki,Bertens,Olanda,9
Kaia,Kanepi,Estonia,93
Barbora,Strycova,Cehia,37
Garbine,Muguruza,Spania,15
Anett,Kontaveit,Estonia,23
Elena,Rybakina,Kazakhstan,19
Paula,Badosa Gibert,Spania,70
Madison,Keys,SUA,16
Kaia,Kanepi,Estonia,93
Anett,Kontaveit,Estonia,23
Elena,Rybakina,Kazakhstan,19
Madison,Keys,SUA,16
Anett,Kontaveit,Estonia,23
Anett,Kontaveit,Estonia,23
